"yend","horz_path","xend","vertical_path","label","Cluster"
0,1,15,29,"Mississippi",1
21.1671915945408,32,15,29,,1
21.1671915945408,32,15.5,30,,1
28.0958028692397,39,15.5,30,,1
0,1,16,31,"South Carolina",1
21.1671915945408,32,16,31,,1
0,1,17,32,"Washington",2
16.425489079327,26,17,32,,2
16.425489079327,26,17.9375,33,,2
26.7137768982926,36,17.9375,33,,2
0,1,18,34,"Oregon",2
12.8780996471237,16,18,34,,2
12.8780996471237,16,18.875,35,,2
16.425489079327,26,18.875,35,,2
0,1,19,36,"Wyoming",2
10.7367388186717,11,19,36,,2
10.7367388186717,11,19.75,37,,2
12.8780996471237,16,19.75,37,,2
0,1,20,38,"Oklahoma",2
7.35527021937332,7,20,38,,2
26.7137768982926,36,20.34375,39,,2
44.8379332309712,46,20.34375,39,,2
7.35527021937332,7,20.5,40,,2
10.7367388186717,11,20.5,40,,2
0,1,21,41,"Virginia",2
7.35527021937332,7,21,41,,2
0,1,22,42,"Rhode Island",2
22.5959782848049,33,22,42,,2
22.5959782848049,33,22.75,43,,2
26.7137768982926,36,22.75,43,,2
0,1,23,44,"Massachusetts",2
11.4564392373896,13,23,44,,2
11.4564392373896,13,23.5,45,,2
22.5959782848049,33,23.5,45,,2
44.8379332309712,46,23.796875,46,,2
89.232093175428,49,23.796875,46,,2
0,1,24,47,"New Jersey",2
11.4564392373896,13,24,47,,2
0,1,25,48,"Missouri",2
20.1984786527384,30,25,48,,2
20.1984786527384,30,25.75,49,,2
29.0541950311957,40,25.75,49,,2
0,1,26,50,"Arkansas",2
12.6142776249772,15,26,50,,2
12.6142776249772,15,26.5,51,,2
20.1984786527384,30,26.5,51,,2
0,1,27,52,"Tennessee",2
12.6142776249772,15,27,52,,2
29.0541950311957,40,27.25,53,,2
44.8379332309712,46,27.25,53,,2
0,1,28,54,"Georgia",2
23.9721425454471,34,28,54,,2
23.9721425454471,34,28.75,55,,2
29.0541950311957,40,28.75,55,,2
0,1,29,56,"Colorado",2
14.5010344458594,21,29,56,,2
14.5010344458594,21,29.5,57,,2
23.9721425454471,34,29.5,57,,2
0,1,30,58,"Texas",2
14.5010344458594,21,30,58,,2
0,1,31,59,"Idaho",3
15.0261072725121,22,31,59,,3
89.232093175428,49,31.22265625,60,,3
152.313999380806,50,31.22265625,60,,3
15.0261072725121,22,31.875,61,,3
20.5985066190634,31,31.875,61,,3
0,1,32,62,"Nebraska",3
12.4386917531679,14,32,62,,3
12.4386917531679,14,32.75,63,,3
15.0261072725121,22,32.75,63,,3
0,1,33,64,"Kentucky",3
3.83405790253616,3,33,64,,3
3.83405790253616,3,33.5,65,,3
12.4386917531679,14,33.5,65,,3
0,1,34,66,"Montana",3
3.83405790253616,3,34,66,,3
20.5985066190634,31,34.4375,67,,3
54.7468308127929,47,34.4375,67,,3
0,1,35,68,"Ohio",3
6.63777071011044,6,35,68,,3
6.63777071011044,6,35.5,69,,3
15.1228971665018,23,35.5,69,,3
0,1,36,70,"Utah",3
6.63777071011044,6,36,70,,3
0,1,37,71,"Indiana",3
3.9293765408777,4,37,71,,3
15.1228971665018,23,37,71,,3
20.5985066190634,31,37,71,,3
3.9293765408777,4,37.5,72,,3
13.3522599960709,19,37.5,72,,3
0,1,38,73,"Kansas",3
3.9293765408777,4,38,73,,3
13.3522599960709,19,38.5,74,,3
15.1228971665018,23,38.5,74,,3
54.7468308127929,47,38.6484375,75,,3
89.232093175428,49,38.6484375,75,,3
0,1,39,76,"Connecticut",3
8.02745289615579,8,39,76,,3
8.02745289615579,8,39.5,77,,3
13.3522599960709,19,39.5,77,,3
0,1,40,78,"Pennsylvania",3
8.02745289615579,8,40,78,,3
0,1,41,79,"Hawaii",3
41.0947650735165,44,41,79,,3
0,1,42,80,"West Virginia",3
10.7711752200225,12,42,80,,3
10.7711752200225,12,42.75,81,,3
33.1178150270327,41,42.75,81,,3
41.0947650735165,44,42.859375,82,,3
54.7468308127929,47,42.859375,82,,3
0,1,43,83,"Maine",3
8.5375640553966,9,43,83,,3
8.5375640553966,9,43.5,84,,3
10.7711752200225,12,43.5,84,,3
0,1,44,85,"South Dakota",3
8.5375640553966,9,44,85,,3
33.1178150270327,41,44.71875,86,,3
41.0947650735165,44,44.71875,86,,3
0,1,45,87,"North Dakota",3
13.0449223838243,17,45,87,,3
13.0449223838243,17,45.5,88,,3
27.7799038518465,37,45.5,88,,3
0,1,46,89,"Vermont",3
13.0449223838243,17,46,89,,3
27.7799038518465,37,46.6875,90,,3
33.1178150270327,41,46.6875,90,,3
0,1,47,91,"Minnesota",3
18.993397505721,29,47,91,,3
18.993397505721,29,47.875,92,,3
27.7799038518465,37,47.875,92,,3
0,1,48,93,"Wisconsin",3
10.1842178699022,10,48,93,,3
10.1842178699022,10,48.75,94,,3
18.993397505721,29,48.75,94,,3
0,1,49,95,"Iowa",3
2.29128784747792,2,49,95,,3
2.29128784747792,2,49.5,96,,3
10.1842178699022,10,49.5,96,,3
0,1,50,97,"New Hampshire",3
2.29128784747792,2,50,97,,3
